episode,episode_steps,highest_score,max_tile
933,276,2992.0,256.0
934,453,6176.0,512.0
935,508,6272.0,512.0
936,399,5376.0,512.0
937,402,5092.0,512.0
938,356,4616.0,512.0
939,273,2960.0,256.0
940,637,5312.0,512.0
941,584,7840.0,512.0
942,249,2628.0,256.0
943,694,6988.0,512.0
944,306,4396.0,512.0
945,186,1300.0,128.0
946,245,3040.0,256.0
947,450,6236.0,512.0
948,177,1372.0,128.0
949,223,2616.0,256.0
950,477,4772.0,512.0
951,478,5640.0,512.0
952,445,5400.0,512.0
953,260,2032.0,128.0
954,436,5160.0,512.0
955,192,1676.0,128.0
956,391,5368.0,512.0
957,383,3160.0,256.0
958,519,5636.0,512.0
959,518,6232.0,512.0
960,263,2936.0,256.0
961,274,3104.0,256.0
962,342,4488.0,256.0
963,406,3228.0,256.0
964,273,3220.0,256.0
965,387,5036.0,512.0
966,500,6572.0,512.0
967,280,2996.0,256.0
968,274,2364.0,256.0
969,404,5280.0,512.0
970,636,6168.0,512.0
971,241,2528.0,256.0
972,610,5268.0,512.0
973,152,1508.0,128.0
974,219,2344.0,256.0
975,463,5804.0,512.0
976,214,2508.0,256.0
977,232,2540.0,256.0
978,323,3160.0,256.0
979,498,6600.0,512.0
980,353,3228.0,256.0
981,119,1248.0,128.0
982,491,6432.0,512.0
983,558,6956.0,512.0
984,300,4520.0,512.0
985,158,1360.0,128.0
986,375,3224.0,256.0
987,367,5044.0,512.0
988,193,2308.0,256.0
989,183,1368.0,128.0
990,238,1440.0,128.0
991,199,2088.0,128.0
992,213,2740.0,256.0
993,431,5404.0,512.0
994,371,5204.0,512.0
995,282,3152.0,256.0
996,234,2552.0,256.0
997,371,2956.0,256.0
998,114,620.0,64.0
999,612,6904.0,512.0
1000,1067,6264.0,512.0
1001,249,3032.0,256.0
1002,193,1788.0,128.0
1003,679,6744.0,512.0
1004,697,11268.0,1024.0
1005,418,3112.0,256.0
1006,292,3052.0,256.0
1007,229,2872.0,256.0
1008,395,4752.0,512.0
1009,374,3300.0,256.0
1010,285,2516.0,256.0
1011,184,2064.0,256.0
1012,529,5408.0,512.0
1013,299,2700.0,256.0
1014,226,2932.0,256.0
1015,500,6284.0,512.0
1016,245,1900.0,128.0
1017,635,7156.0,512.0
1018,295,3144.0,256.0
1019,269,3316.0,256.0
1020,800,11960.0,1024.0
1021,421,5804.0,512.0
1022,323,3284.0,256.0
1023,259,2716.0,256.0
1024,185,1392.0,128.0
1025,245,2936.0,256.0
1026,212,1844.0,128.0
1027,514,5192.0,512.0
1028,377,3844.0,256.0
1029,222,1492.0,128.0
1030,148,1372.0,128.0
1031,135,1376.0,128.0
1032,424,3712.0,256.0
1033,367,4352.0,256.0
1034,234,2232.0,256.0
1035,434,5252.0,512.0
1036,324,2984.0,256.0
1037,430,5276.0,512.0
1038,467,5340.0,512.0
1039,616,6356.0,512.0
1040,363,4800.0,512.0
1041,325,4732.0,512.0
1042,455,6572.0,512.0
1043,245,3068.0,256.0
1044,396,5592.0,512.0
1045,361,3088.0,256.0
1046,294,3044.0,256.0
1047,243,2928.0,256.0
1048,363,3232.0,256.0
1049,324,2996.0,256.0
1050,380,1944.0,128.0
1051,319,3260.0,256.0
1052,162,1348.0,128.0
1053,382,2932.0,256.0
1054,408,3704.0,256.0
1055,329,3228.0,256.0
1056,520,5308.0,512.0
1057,253,1440.0,128.0
1058,380,3160.0,256.0
1059,207,1884.0,128.0
1060,500,5396.0,512.0
1061,441,3356.0,256.0
1062,282,3128.0,256.0
1063,208,2344.0,256.0
1064,322,3080.0,256.0
